ibf_product_group,ibf_product_group_name,competitor_product_group_id,competitor_product_group_name,similarity_score
ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,Alstroemeria,00000292,Alstroemeria,1.0
edf288cd-9ad2-4367-8fe3-2d47494ab2f9,Aster,00000299,Aster-Focal,0.844
507f66ab-2a79-43a1-9bdb-66e690d1aaa5,Aster Spray,00000298,Aster-Spray,0.97
fe74eca1-cbad-4962-8102-4c5b7d6adc21,Bells Of Ireland,00000304,Bells of Ireland,1.0
5c2ebc74-f0d5-409f-83f2-a1d33372c246,Bouquets,00000306,Bouquets,1.0
abc3802a-cdb2-4f92-874a-fe36927e8ec1,Calla's,00000312,Calla lily,0.824
3322369c-cdde-479c-a465-e03c0826111e,Carnation,00000314,Carnations,0.938
4e76dde5-60e9-4cb0-8afb-f099f89ebc3a,Mini Carnation (Spray),00000369,Carnations-Mini,0.871
1692521f-3547-4454-adf5-3b8bfb414633,Try Out Box,00000320,Combo Box,0.754
b1ef4367-f130-48df-ae2a-4eaf50653424,Daffodils,00000326,Daffodil,0.947
3cdd743c-9824-4d55-963a-b7bfdf555466,Dahlias,00000327,Dahlia,0.923
decde47b-6c08-4330-88cd-78d642cf8823,Delphinium,00000329,Delphinium,1.0
8da21cb6-6ce2-4cdf-a974-2f5d0c69e260,Gerbera Spiders,00000340,Gerbera,0.853
89aff8fb-4551-421d-ab29-54b548824f1d,Gladiolus Large Flowered,00000343,Gladiolus,0.821
0c9f14f5-d919-4590-bbb6-f8f0f14a30e2,Gypsophilia (Babys breath),00000348,Gypsophila,0.657
3711d6d5-1bf9-491f-8005-af223f9d3203,Hydrangea,00000351,Hydrangea,1.0
8bff6b99-de91-492b-820f-83cf5c097212,Hypericum,00000352,Hypericum,1.0
e7188a6f-198d-4287-97ed-1c326bf248c3,Iris,00000353,Iris,1.0
e8f988ec-9663-49d7-99cc-db57e6240e3d,Strawflower,00000356,Laceflower,0.752
4ec49f8d-67d8-4658-b005-4792e9b2daee,Larkspur,00000357,Larkspur,1.0
dfe0279c-c792-4f6d-abb1-39426af229b4,Liatris,00000359,Liatris,1.0
c473d7cf-f8df-400f-a2b7-6dc964f6d274,Lilies Asiatic,00000361,Lilies,0.854
216f9b19-3671-4899-a8f8-acb3d173dabc,Limonium,00000363,Limonium,1.0
a7515350-5cfb-4423-86ee-95fb6836db4e,Lisianthus Double,00000364,Lisianthus,0.821
73eebcd2-6c71-4e23-939a-410a82bd675a,Chrysanthemum Disbuds/ Mums,00000375,Mums-Bunched,0.702
73eebcd2-6c71-4e23-939a-410a82bd675a,Chrysanthemum Disbuds/ Mums,00000376,Mums-Stem,0.702
47c397da-36d2-4e19-abac-315b05d83a9a,Novelty (Do not use anymore),00000285,Novelty,0.78
f22cd647-5eca-4c2f-812d-6e7661052a85,Acacia,00000286,Acacia,1.0
d3cc79f1-282f-4f7e-95fd-ebae15a38a6b,Centaurea,00000478,Achillea,0.621
b786bc7a-255b-4f3b-8bbf-d8c7562e8dcd,Trachelium,00000586,Acontium,0.665
3261737f-f6a8-415d-825e-431841e44ac7,Agapanthus,00000287,Agapanthus,1.0
5564fbf5-0dc0-4324-90ef-c50fc990cc66,Ageratum,00000288,Ageratum,1.0
64fd43d4-6acb-4334-ad1b-0afed2a1b86c,Eriostemon,00000585,Agrostemma,0.65
