ibf_product_group,competitor_product_group
Achillea Yarrow,a457ca34-3e66-41ba-8ddc-16e793044ce3
Alstroemerias,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc
Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882
Anemone Coronaria,0b6221f4-9306-4e15-9949-d403524c3a7d
Green,unmapped
Orchid,unmapped
Aster,edf288cd-9ad2-4367-8fe3-2d47494ab2f9
Lily,unmapped
Tropical,unmapped
Bouquet,unmapped
Brassica Kale,a06f225f-b6ca-4dc8-8b80-f3cb014b1794
Calla,unmapped
Carnation,3322369c-cdde-479c-a465-e03c0826111e
Mini Carnations,unmapped
Disbuds,unmapped
Dahlia,unmapped
Delphinium,decde47b-6c08-4330-88cd-78d642cf8823
Dianthus,unmapped
Dusty Miller,unmapped
Eryngium Thistle,
Garden Rose,85e5624a-3128-4892-a306-3e060dd1c8fe
Garland,unmapped
Gerbera,unmapped
Gladiolus,unmapped
Gypsophilia,618b7a0a-f638-4007-a05d-ba1f22fbad64
Protea Pin Cushion,unmapped
Hydrangea 2,3711d6d5-1bf9-491f-8005-af223f9d3203
Hypericum,8bff6b99-de91-492b-820f-83cf5c097212
Larkspur,unmapped
Sweet Pea,unmapped
Liatris,unmapped
Limonium,216f9b19-3671-4899-a8f8-acb3d173dabc
Lisianthus,46b13bd5-8507-433d-9446-6728d5cc2e09
Veronica,d2ea2fc3-6c90-449b-9b0c-c4d9d2400fbc
Pompon,unmapped
Ranunculus,f804a637-35a9-4e33-bdc3-271e6adc9ab5
Rose,7a68bebd-2346-4e73-9906-a7665c22ce20
Snapdragon,3f7d62c8-1ad6-46de-840d-4563a5545a3d
Spray Rose Premium,f65b435b-c531-4639-99d9-2805fb8cd131
Statice,0fe1b331-a9eb-46d8-b354-81a9f944723a
Stock,ab301a1f-7596-45ee-a689-dfc531f7b0c2
Sunflower,72193b6f-3745-43d3-b566-73346bb5db71
Trachelium,b786bc7a-255b-4f3b-8bbf-d8c7562e8dcd
Waxflower,unmapped











































































































































































































































































































































































































































































































































































































































































































































































































































































