ibf_variety,competitor_variety
e4415abd-7e9c-48aa-9a39-aaf0eb88c677,2148558
100a588d-2d2c-42d1-b30b-7a5e0e07a25f,2148560
666a78d9-1a3b-405d-b4d5-f8db3a84cd38,2148561
766d1c52-bd9e-433d-8ad2-568178b0db70,2160544
1c8d54fb-3d5c-4a4d-a381-d617a69db23f,2160550
56cfbb87-dabe-4071-b3db-e2ac521a610f,2160552
92c8392a-1f77-4782-8a7c-4082f369cdcb,2160554
71962e5e-eba3-4a5a-b902-efb4a4529703,2160556
a035bd55-23af-4c21-83b0-baef07669984,2160560
f94664ba-fd1a-4c84-af02-92761b5d6451,2160574
ed68bbd3-8723-41eb-86f6-4116fed66e09,2160658
49c8dc4c-8895-42a9-9d90-66a150b66dc5,2161006
ea19e485-3536-4082-9b03-0053e90d76e3,2161008
cca7bf2f-1471-42a4-bd4d-fec92b81954c,2161010
b34b35b0-2ad5-4824-aa4f-dd907edb76d4,2161012
40235410-ac07-4419-b641-ca32a2f8fdd2,2161014
b5bfd498-0086-4c2c-8901-6e605037465e,2161024
7dc29cc5-d734-449a-922c-60621994b4ed,2161026
1497f7fe-776d-4f1f-b891-dbb609a82ef5,2161028
3e93f0c4-b325-4a21-ba3e-24062578698e,2161030
5de3bbad-c3b8-4c77-aa4e-ec49154b374a,2161039
0e8851b0-ba33-4ca7-a9bb-e230832d409b,2161041
1fa1ecea-329d-4f19-8735-9d76b64075f7,2161051
9d57cd8b-410a-4281-80cf-a66024c543ae,2161053
b88b58c0-5fb8-435d-91a8-d74abbf01d12,2161055
8dec5f0d-1ec9-4914-a540-0335e5c6933c,2161157
4fa9d5fb-da93-48f8-840b-9810033c012a,2161159
6645f7ea-f916-4d1e-8cd5-f9b6ed643e1c,2161161
b1c762b1-d594-4780-913e-093638a7ef23,2161165
040a963f-be56-4a95-982d-485ac6cb1c3f,2161345
3daa8270-b173-4d38-b29f-2bca8830208f,2161347
c37f38b8-824b-4db7-a84b-fddc54b8a61f,2163152
5d79c163-42db-4b83-a400-5c4b92f87c1b,2167167
c521c8eb-efc0-462c-9ab2-87975ad2f6dd,2212503
b59a43f5-e6e3-4d35-878e-06a6efe6c702,2160734
6887d25c-3d34-44df-a07f-129980dbdc58,2163150
5de9e8a5-4ed4-4767-9c60-e7c2b5b25ba3,2160736
761eb3d0-4d87-4597-8c7e-6dee90ff7ef0,2160738
aed7af48-92aa-4224-8dd2-1c2915b33d04,2160740
10b23582-414f-43e2-bb8e-e34d3a3d9b26,2160742
a89a5ffd-f1a4-4d0e-a59f-e3de4a2db5e0,2160746
4680589e-4077-45e0-980f-eaac00f5e7e5,2160718
b9a8b807-6771-4f5d-bd00-e4984e08cf3b,2160744
33c8990a-0114-456e-9e97-373fd4ad3b72,2163156
8e6c70d4-794c-40fb-8785-b5eff86a738e,2158055
bd5eb44f-9b99-4a9d-88a1-f5b1f2861035,2163158
390c9ae7-3312-4f98-8985-cbba72e32133,2161057
390c9ae7-3312-4f98-8985-cbba72e32133,2167305
1342e6d1-3312-435a-8874-1484354ef213,2163134
f956056e-57f9-426d-bf64-0320167f0f59,2177259
69b40e96-63e0-489d-8704-6ab6a4bf94af,2161107
311cab55-4199-453e-9fd0-a28bdaf286c6,2163162
92b0e80d-9e76-44fd-9ddc-6d09c4d7d258,2192242
f406e22e-948c-4073-a6b2-c30c955b9d43,2252003
a6ae0b39-0837-4513-9264-e75cb1710a6d,2158442
305aab46-72f9-461d-afc7-98d901c13243,2158502
44e65fa0-1676-4d10-8b8b-fa8ddea43f96,2158448
b1e18d64-da8e-4088-aa6f-17b93d2f0725,2161117
e0089c8c-6245-41a3-b61c-9c07e0642f2d,2148563
0a7db376-3513-45ad-8f4e-3f382fe8f0eb,2161075
58daa90d-e523-4768-bcc5-17be6460d5b1,2163138
a39870b0-e896-4c1b-bbec-bf53bbf98c9a,2160726
0f9e9469-a6d2-4ab4-b929-06ccae998cbe,2161303
99c8bf60-10ec-4886-a247-fea026017662,2158460
42997f80-812e-423c-9ed4-e600dfdbb818,2161065
fd216936-d6d6-4b11-8024-5585c8c78bf7,2161343
05a28877-345c-42b3-8856-bd7d41f03779,2148544
fb26a069-962d-40cb-96ce-92d8f9594813,2161069
c3fc1f21-7ce7-4142-8b57-189bc1d070b5,2161279
5fa6d79e-ea85-4a68-a939-4c8e2cc32ed5,2161071
510c0313-11e6-4815-a04a-feb3aab779e2,2161379
e37b6275-5723-446c-a101-becc9486686d,2219806
1da10f06-1878-4537-8646-a5074c0b5743,2160568
8b46cd80-c47d-4788-826c-3c5295a61e62,2161067
d7583b3b-5a47-42ca-b83d-9cb4f880a768,2161285
008a3cb9-be08-46a7-ba34-6aff49ff15ab,2161361
fb7b8740-e49b-4470-b4c5-f1eb4282b2dd,2160572
f2d53e7d-16e6-4eb3-b1c0-4ec20a490482,2148534
2e077bc0-d072-44ef-ae0b-3d4c639387b5,2161022
66863ee1-1b58-4878-a809-2e1be29d7361,2161115
fcb9d70c-f2c5-4ca0-9eff-0759f19d93c3,2161073
2e20d467-6d77-4695-98e1-24f05925e1d1,2148533
0d0b2974-88cc-44f4-b26d-420e6188251a,2158185
0d0b2974-88cc-44f4-b26d-420e6188251a,2158187
84b24f96-cf34-476f-8ab4-5e117bf9af16,2161111
896abed4-5b18-49f5-b1fd-6f679c044a87,2161119
f740603f-e493-4a07-a9e7-cc73c854215b,2161123
099afe34-5d77-4e3d-ad1b-9de715fb92cd,2160758
d98563da-92da-47a7-ae74-b9effbb50c79,2148536
d3e6269a-1025-4e2c-ae0c-a777fb870585,2148537
c01e0b01-effb-42a9-85c8-5765ec1d61cf,2160728
b0bd8bc7-97ce-4a47-b5df-d7ff424c815a,2161163
42cd2b3f-3968-4c31-a5a3-ad6a9fca0601,2160706
9e655142-0577-4df3-bd53-f8e970e56407,2148538
094aabaf-7503-4e24-b7a8-e8b8c984b95d,2158458
fb8b6922-4224-411c-9394-af6158a59086,2160760
c5866dfc-e0bb-4dda-ab04-ab1eba9a8e76,2158422
adebc370-4123-4bf4-b2b3-6563b2d33781,2160732
1303d218-c7e0-40b0-b27d-cb630394ac12,2163136
7328f3fc-e177-49ad-80f5-fdde4481a1db,2148530
452eeb34-2851-4dd6-82ae-a37402468c65,2158081
452eeb34-2851-4dd6-82ae-a37402468c65,2158083
723744d1-75d6-4326-bb8a-a9e0da2753e8,2160720
dc7d08f2-2f09-4a9a-925d-aa0a405e994c,2157933
dc7d08f2-2f09-4a9a-925d-aa0a405e994c,2157935
dc7d08f2-2f09-4a9a-925d-aa0a405e994c,2157937
dc7d08f2-2f09-4a9a-925d-aa0a405e994c,2157939
15ef4ce5-4dd6-452b-b93b-37c8edffab46,2158500
96c6b8ba-c1ef-4f84-838e-e753fd3cc71d,2161113
1cca4b39-31dc-4474-8d84-0fdf0a9e516c,2161255
3276d79d-695d-4f45-87c4-d53166e34ef3,2158085
3276d79d-695d-4f45-87c4-d53166e34ef3,2158087
3276d79d-695d-4f45-87c4-d53166e34ef3,2158089
10f4a9a5-4b05-47b1-8c32-0ee8a250f3b9,2160566
b6eb66ea-0436-412f-a3c4-3a3933af8390,2171971
b6eb66ea-0436-412f-a3c4-3a3933af8390,2171972
b6eb66ea-0436-412f-a3c4-3a3933af8390,2171973
d5808360-30ad-497d-9972-ed11b9fc1186,2157905
d5808360-30ad-497d-9972-ed11b9fc1186,2157907
84c9b43d-cff1-49eb-a3e2-e4a218c76cc2,2161197
f32fcbbd-39ea-4a43-817f-b036e6674f43,2163144
19a9c5ba-6acc-44b8-a90b-6d90b7f59b94,2177246
59ffa0fc-74ea-4719-89f7-8144f48c0a4d,2219810
44560f6d-c593-4883-8519-c89377e85582,2161101
6069b93c-fe61-4d03-8ee8-8935735ac7bd,2160622
b483db98-efd8-4cf8-b2e0-474109284b3e,2160908
bc9a9930-194d-4656-bab2-c8792a2d311c,2161103
3d05d1ad-64e4-4e85-8477-8b2ad17180e0,2161105
040ffa1d-cb2e-4e4f-913b-a49dee8e32df,2158404
2599e1c4-da18-4742-9317-1b08cb834f29,2158412
fc33a789-193f-4f7e-b875-575715b90d8b,2161287
bcee72f7-9640-4088-b125-33573d679ef8,2158434
c988654b-7a11-4e10-bdc2-d54ca771c029,2161125
a4737547-7d7d-44bf-986f-8ef2b1c6f4fd,2177199
3799423d-b9c8-46fc-9e05-1abc29fed4db,2158179
3799423d-b9c8-46fc-9e05-1abc29fed4db,2158181
3799423d-b9c8-46fc-9e05-1abc29fed4db,2158183
7d5112c6-516a-44b4-bcb6-e2e6331ca10f,2160768
ec9f8631-2bf7-4f2b-badd-d7a9b35fb6ea,2157807
