ibf_product_group,competitor_product_group
7a68bebd-2346-4e73-9906-a7665c22ce20,900
85e5624a-3128-4892-a306-3e060dd1c8fe,556
3711d6d5-1bf9-491f-8005-af223f9d3203,717
ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,490
3322369c-cdde-479c-a465-e03c0826111e,562
abc3802a-cdb2-4f92-874a-fe36927e8ec1,555
fe74eca1-cbad-4962-8102-4c5b7d6adc21,526
ede3dcb6-259c-49df-b21b-e03a4003d665,959
73eebcd2-6c71-4e23-939a-410a82bd675a,582
f65b435b-c531-4639-99d9-2805fb8cd131,946
decde47b-6c08-4330-88cd-78d642cf8823,621
1191a80c-1726-43d7-b4e2-4e239d0a5598,910
723b5f0a-b914-4d2f-b5c1-58ea4cee71ce,635
0fe1b331-a9eb-46d8-b354-81a9f944723a,953
39835a65-1dc7-4b37-92be-66daf73fac29,756
572f3db4-81ad-4dbc-86ef-1195bf9c78ca,684
3ac230e1-ab31-4da6-9c4e-5a36764cdc4a,971
8bff6b99-de91-492b-820f-83cf5c097212,719
c960b6b5-aa1c-4d68-b526-4ff325a13754,634
ddd1b091-f766-4f24-976a-5c5629727d39,657
a48075b7-c761-4f99-b057-436a81e22616,849
ce2aa506-46f0-4fcf-aa42-56da08135155,947
b1d5f091-9120-474e-b65d-d43f1dda7700,884
6b025779-674a-43ee-be46-d32b4a7f6d62,759
0ed0264f-3587-4077-9752-4cee47549e5e,835
12932620-8484-4dba-bd71-205ed8e5da22,643
7e568fb8-3159-4049-a6cd-241404e3e560,737
b13b3354-b515-4882-8b2e-75d2e75dc998,858
f804a637-35a9-4e33-bdc3-271e6adc9ab5,889
e54687a4-0692-4715-b73e-f4a7448ced4a,980
e7188a6f-198d-4287-97ed-1c326bf248c3,724
6fb9291c-05d9-486b-b599-7f71be272e9b,616
84132732-29d4-4525-bc0f-9f27fd22c94d,663
72193b6f-3745-43d3-b566-73346bb5db71,961
065128c0-72e5-4e00-975a-39c8a717eafd,906
67cf5a2d-f8ce-4a3c-a9df-d3a328aabc09,627
44158241-eff8-400e-9fd6-967384de466b,844
216f9b19-3671-4899-a8f8-acb3d173dabc,775
1e2ee4e0-904b-4068-87fd-c74123f53af1,485
e53e86c2-f5ea-43c2-8fb5-764bca6e94e1,546
09cbb165-445b-4c82-9a3b-b033cbac9f12,510
abc5eaea-ca26-4130-ba08-aea64145626f,505
71ed2d86-2509-40f1-973a-0df53ea86737,702
5f5756ca-89dc-4dd5-a706-3fa2cb241882,686
3087f0ab-7641-4cfa-b687-8c101668525c,995
c3db8d45-a5e0-40e9-ae61-e46a8a8f35fe,569
8f349be2-56d7-4e5b-9d59-27b9d97b7793,607
1dc7ebac-ec79-439e-b916-09f304bb4ba0,559
b0669d59-c36e-40d0-a8f8-044614bf9411,1091
a06f225f-b6ca-4dc8-8b80-f3cb014b1794,738
b57f9f3f-35f2-4fc0-bc05-322124740f92,982
cec25414-a3ab-47ed-9cdd-5f54f1b0ce93,789
84245f4f-dd48-4b70-aaf3-5bd33564190e,988
8dd89459-0abb-413d-aafa-d2bc5ac3e040,963
0b6221f4-9306-4e15-9949-d403524c3a7d,495
c1f2e201-3b47-49a6-be06-3b5d2822bd9a,921
83a8817f-88b8-45a9-bc11-f9e3868e1882,491
5bcc9ad7-5116-47d9-857d-3ef2c7adacdf,975
df017349-ea53-40c5-a62b-88739aceb448,739
b8197d36-46c9-476a-817b-2d7b89cdeafa,497
1f25d5a8-111d-4b42-9785-f1183758721b,645
7521c0c9-3987-4b27-892e-f7abf782298b,663
1ee96c2d-4154-4df1-81cd-8945de104113,704
f22cd647-5eca-4c2f-812d-6e7661052a85,476
de2c54e3-c55e-4ea9-ab4e-d8fc8bd98063,817
bdc74c69-a222-4cc5-9edc-0d5b24343814,693
4ad9434e-dd6f-4f27-9f30-01cc2658eb96,790
7af4c515-5d95-4637-a043-9c5ca2162fae,799
f86731fc-25b0-4331-b086-b0d1850e1b0f,748
618b7a0a-f638-4007-a05d-ba1f22fbad64,1051
9156fead-10bb-493b-8bac-d0f7f9ac9fcf,896
b2855498-5f59-43f3-846a-7bd5a86a0421,907
06d083d9-3fd1-4c53-9030-2ab874c7360a,547
6b35d620-4a44-49f3-b883-40fe01f311ce,851
b786bc7a-255b-4f3b-8bbf-d8c7562e8dcd,974
d64b553f-70c7-4631-a0da-54c59be3cf81,882
b37e47fa-a5df-4d1a-a9e5-ea6d45e4bc09,847
759243a0-6c8d-43ad-a0e0-136dc01dfa86,740
828d6aa3-aba8-4446-ac0f-f691a821cfb5,888
c473d7cf-f8df-400f-a2b7-6dc964f6d274,767
1ef1479a-d2af-4fcf-950a-58e2baa31f05,651
abd12a8c-1933-4a93-9f0b-ff4cb1f9c6ee,600
98b1739e-8152-4985-9f3a-6d2b60b46aae,"886, 614"
