Product_group_key,Product_group_name
1181,Achillea Ptarmica
479,Agapanthus
490,Alstroemeria
491,Amaranthus
495,Anemone
496,Anemone Mistral
499,Aralia
505,Aspidistra
509,Aster
511,Astrantia
512,Atriplex
526,Bells of Ireland
535,Bird of Paradise
545,Bouquet
549,Bromeliad
1091,Bupleurum
555,Calla Lily
1192,Calla Lily Mini
559,Campanula
562,Carnation
582,Chrysanthemum Disbud
590,Cocculus
593,Commodore
607,Craspedia Billy Balls
608,Cremons
619,Dahlia
621,Delphinium
627,Dianthus
635,Dusty Miller
642,Eryngium
643,Eucalyptus
648,Eupatorium
666,Fuji
668,Galax
1051,Garland
678,Gerbera
691,Grass
692,Green Mist
695,Gypsophila
704,Helleborus
710,Honey Bracelet
717,Hydrangea
719,Hypericum
738,Kale
739,Kangaroo Paw
745,Larkspur
748,Leather
754,Lepidium
756,Leucadendron
759,Leucospermum (Pincushion)
762,Liatris
767,Lily Asiatic
768,Lily Grass
771,Lily Oriental
775,Limonium
780,Lisianthus
789,Lysimachia
800,Ming Fern
802,Mini Carnation
811,Moss
813,Mum
815,Myersii (Foxtail Fern)
818,Nagi
831,Ornithogalum
835,Palm Leaf
838,Papyrus
851,Phlox
857,Pistachio Foliage
858,Pittosporum
859,Plant
861,Plumosa
862,Pod
870,Pompon
866,Pompon Button
871,Pompon Cushion
867,Pompon Daisy
876,Poppy
884,Protea
889,Ranunculus
890,Ranunculus Butterfly
898,Riceflower
900,Rose
556,Rose Garden
910,Ruscus
921,Scabiosa
934,Snapdragon
938,Solidago
946,Spray Rose
947,Spray Rose Garden
949,Springerii
953,Statice
957,Stock
958,Strawflower
961,Sunflower
963,Sweet Pea
964,Sweet Pea Japan
965,Sweet William
966,Sword Fern
968,Thlaspi (Penny Cress)
974,Trachelium
975,Tree Fern
991,Tweedia
998,Veronica
1002,Viburnum Foliage
1006,Wax Flower
1014,Yarrow
