ibf_variety,competitor_variety
b7bfd76a-e2e2-4f50-a71d-d12d3bfd7e14,490587
a035bd55-23af-4c21-83b0-baef07669984,500277
f94664ba-fd1a-4c84-af02-92761b5d6451,513373
4bc3006d-c2c3-4f27-9725-9d5033c6568a,514550
4bc3006d-c2c3-4f27-9725-9d5033c6568a,514550
4dfcae7b-b869-4e53-b242-065f9e29b4b5,490412
ab43b132-ced7-4644-b458-756d0015cc76,490413
dec568b5-e939-43a6-9354-368a663f6430,490411
73bcc1a7-2e09-423d-ab4c-b439eebb6ad2,1562068
530bcce3-3862-4ecf-928f-d8789518b83f,490142
fd1a4d17-3895-4ba9-848d-5bd0333555cd,485289
cc995092-dce0-4b1b-8a9c-7114e46ededb,988195
cc995092-dce0-4b1b-8a9c-7114e46ededb,988197
3c70cb7c-f8f6-478c-8d04-4f2affb11260,988199
3c70cb7c-f8f6-478c-8d04-4f2affb11260,988203
b26486e1-91af-474f-94a0-a34643d5c114,485339
b26486e1-91af-474f-94a0-a34643d5c114,485340
b26486e1-91af-474f-94a0-a34643d5c114,485341
c0fbd39f-e2b5-4075-8367-035a963da2e7,485276
c0fbd39f-e2b5-4075-8367-035a963da2e7,485277
77a17fe4-5483-4822-ae81-61aaa95856ed,7558744
228a76db-dd11-4c3f-a8dc-05fc2e1a6fdf,7407079
fd216936-d6d6-4b11-8024-5585c8c78bf7,513904
040a963f-be56-4a95-982d-485ac6cb1c3f,513905
040a963f-be56-4a95-982d-485ac6cb1c3f,513905
3daa8270-b173-4d38-b29f-2bca8830208f,491524
3daa8270-b173-4d38-b29f-2bca8830208f,491524
0671eb9d-3278-44f2-80a3-aac75c1a43c6,1086944
e4415abd-7e9c-48aa-9a39-aaf0eb88c677,666519
e4415abd-7e9c-48aa-9a39-aaf0eb88c677,666519
ee5891f9-31bc-4b9f-9e42-ccc02063bced,485389
4680589e-4077-45e0-980f-eaac00f5e7e5,485390
b59a43f5-e6e3-4d35-878e-06a6efe6c702,485396
5de9e8a5-4ed4-4767-9c60-e7c2b5b25ba3,485397
761eb3d0-4d87-4597-8c7e-6dee90ff7ef0,485399
aed7af48-92aa-4224-8dd2-1c2915b33d04,485400
10b23582-414f-43e2-bb8e-e34d3a3d9b26,485401
b9a8b807-6771-4f5d-bd00-e4984e08cf3b,485406
a89a5ffd-f1a4-4d0e-a59f-e3de4a2db5e0,485407
65f1e378-06d9-43c5-a970-be9fe5b528b7,490073
be4b1921-efe4-4e66-be9a-f6f043a32fbc,1219050
0f9e9469-a6d2-4ab4-b929-06ccae998cbe,627860
0f9e9469-a6d2-4ab4-b929-06ccae998cbe,627860
7b357f80-f45b-4046-b93c-32457a785910,514054
21fcdcba-9661-4e67-8eec-dd181396e08b,938951
8dec5f0d-1ec9-4914-a540-0335e5c6933c,514061
8dec5f0d-1ec9-4914-a540-0335e5c6933c,12246406
4fa9d5fb-da93-48f8-840b-9810033c012a,514065
4fa9d5fb-da93-48f8-840b-9810033c012a,12246404
b15ec624-8d56-4f91-b58e-87d910846914,514067
b15ec624-8d56-4f91-b58e-87d910846914,12246408
6645f7ea-f916-4d1e-8cd5-f9b6ed643e1c,514070
6645f7ea-f916-4d1e-8cd5-f9b6ed643e1c,12246320
b1c762b1-d594-4780-913e-093638a7ef23,514071
d7583b3b-5a47-42ca-b83d-9cb4f880a768,1004600
d7583b3b-5a47-42ca-b83d-9cb4f880a768,1004600
d7583b3b-5a47-42ca-b83d-9cb4f880a768,1004596
d7583b3b-5a47-42ca-b83d-9cb4f880a768,1004596
d5f7aa0e-8ef7-4032-b945-e492bf84a175,1078860
d5f7aa0e-8ef7-4032-b945-e492bf84a175,1078861
2e077bc0-d072-44ef-ae0b-3d4c639387b5,645623
a2355239-baf9-4657-9089-2e7439497fe2,517817
100a588d-2d2c-42d1-b30b-7a5e0e07a25f,489347
9d57cd8b-410a-4281-80cf-a66024c543ae,513026
b88b58c0-5fb8-435d-91a8-d74abbf01d12,513027
1767e95a-c83f-4fdb-b85d-27157a044a90,513028
1767e95a-c83f-4fdb-b85d-27157a044a90,513028
3b885ab7-cd80-4502-a3e9-248a9a08772f,966686
3b885ab7-cd80-4502-a3e9-248a9a08772f,966686
3b885ab7-cd80-4502-a3e9-248a9a08772f,966686
3185b3b3-66a8-4392-a083-5cf80e44f90f,889280
b908fa53-9cc1-4384-a0c5-71f5e8fc62d8,510047
30e6b64f-3e8d-4d22-b0d0-9d6d434087fd,887967
c12bdfe4-19a6-4199-9cfb-f82ebe74ab67,485117
96c6b8ba-c1ef-4f84-838e-e753fd3cc71d,488905
ff23babb-67ec-438c-a48e-480d8fd4f44b,490140
ff23babb-67ec-438c-a48e-480d8fd4f44b,490165
8fa753ab-5273-4115-962a-3e5688f4db42,3395099
4c480713-cbb6-49b6-92e2-786c7bc43b1e,485398
69b40e96-63e0-489d-8704-6ab6a4bf94af,488909
69b40e96-63e0-489d-8704-6ab6a4bf94af,488910
e865e502-c55b-4c46-94c4-495e2c33d348,489097
d026bdec-0029-4196-95e6-593258c4dd2d,489116
c7115ff9-51a8-4896-b691-56fcf3e2e55d,487010
c7115ff9-51a8-4896-b691-56fcf3e2e55d,487011
3317161d-b165-4b58-809e-76361ab8aa02,885000
12f0a153-0e30-492d-bf04-7dcdb3f964cc,514165
12f0a153-0e30-492d-bf04-7dcdb3f964cc,514165
02c7c0f7-2cba-4ac1-a836-f819cc23d1cf,487764
02c7c0f7-2cba-4ac1-a836-f819cc23d1cf,487765
02c7c0f7-2cba-4ac1-a836-f819cc23d1cf,487766
7b6b7fd7-ef5c-46db-9da2-063a090912de,3395197
f6769a05-7117-4fd3-ad66-ffb01a2c5c41,489136
112f6f17-e4df-4911-a0d4-cbf26faed3a4,942440
e452aa13-6e2d-43e9-b5f4-2147175f52a7,1032796
e452aa13-6e2d-43e9-b5f4-2147175f52a7,1032797
e452aa13-6e2d-43e9-b5f4-2147175f52a7,1032798
62f613ba-1da6-4a85-a41e-001799eba0d9,487663
62f613ba-1da6-4a85-a41e-001799eba0d9,487664
62f613ba-1da6-4a85-a41e-001799eba0d9,487665
91e45cb3-ed92-45dd-8031-39eebd5b0669,485843
91e45cb3-ed92-45dd-8031-39eebd5b0669,485844
db592b1e-d54e-4093-82f5-13db501724f5,488852
810e5e94-fb96-4879-90a4-decc97d92094,489076
810e5e94-fb96-4879-90a4-decc97d92094,489077
8ea60465-b78c-4643-be8a-beb6ec30c776,514808
41d3582f-d122-4491-b808-a2b12c90927d,488709
2fb64fb1-c2fd-468e-8917-5adf322fe6f7,486066
a3450382-98db-482c-98a8-9e3973436ad3,486160
4dfc9999-3ef0-446a-93c1-7e3808b056fc,488267
e673d850-a421-4b5a-b831-af62a32b1d07,488488
e673d850-a421-4b5a-b831-af62a32b1d07,488489
3276d79d-695d-4f45-87c4-d53166e34ef3,491511
3276d79d-695d-4f45-87c4-d53166e34ef3,491512
3276d79d-695d-4f45-87c4-d53166e34ef3,490650
3276d79d-695d-4f45-87c4-d53166e34ef3,491513
0ea1d377-2e5d-4f75-84dd-127ce5a26891,487529
0ea1d377-2e5d-4f75-84dd-127ce5a26891,487530
30f161ca-f066-4432-8b5e-b0f24e4a36e5,567669
30f161ca-f066-4432-8b5e-b0f24e4a36e5,567670
30f161ca-f066-4432-8b5e-b0f24e4a36e5,567671
30f161ca-f066-4432-8b5e-b0f24e4a36e5,567672
37de2343-09c4-4489-aabe-7320267e58d6,487324
37de2343-09c4-4489-aabe-7320267e58d6,487325
