ibf_product_group,competitor_product_group
7a68bebd-2346-4e73-9906-a7665c22ce20,Premium Roses
85e5624a-3128-4892-a306-3e060dd1c8fe,Garden Roses
ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,Alstroemeria
83a8817f-88b8-45a9-bc11-f9e3868e1882,Amaranthus
3322369c-cdde-479c-a465-e03c0826111e,Carantions
73eebcd2-6c71-4e23-939a-410a82bd675a,Chrysanthemums
f65b435b-c531-4639-99d9-2805fb8cd131,Spray Roses
f804a637-35a9-4e33-bdc3-271e6adc9ab5,Ranunculus
0b6221f4-9306-4e15-9949-d403524c3a7d,Anemone
ab301a1f-7596-45ee-a689-dfc531f7b0c2,Stock
a457ca34-3e66-41ba-8ddc-16e793044ce3,Achillea (Yarrow)
edf288cd-9ad2-4367-8fe3-2d47494ab2f9,Aster
decde47b-6c08-4330-88cd-78d642cf8823,Delphinium
618b7a0a-f638-4007-a05d-ba1f22fbad64,Gypsophila
3711d6d5-1bf9-491f-8005-af223f9d3203,Hydrangea
8bff6b99-de91-492b-820f-83cf5c097212,Hypericum
a06f225f-b6ca-4dc8-8b80-f3cb014b1794,Kale
216f9b19-3671-4899-a8f8-acb3d173dabc,Limonium
46b13bd5-8507-433d-9446-6728d5cc2e09,Lisianthus
cec25414-a3ab-47ed-9cdd-5f54f1b0ce93,Lysimachia
b1d5f091-9120-474e-b65d-d43f1dda7700,Protea
3f7d62c8-1ad6-46de-840d-4563a5545a3d,Snapdragon
0fe1b331-a9eb-46d8-b354-81a9f944723a,Statice
e8f988ec-9663-49d7-99cc-db57e6240e3d,Strawflower
72193b6f-3745-43d3-b566-73346bb5db71,Sunflowers
b786bc7a-255b-4f3b-8bbf-d8c7562e8dcd,Trachelium
d2ea2fc3-6c90-449b-9b0c-c4d9d2400fbc,Veronica
Wedding Flowers,unmapped
Astrantia,unmapped
Calla Lilies,unmapped
Solidago,unmapped
Solomio,unmapped
Craspedia,unmapped
Phlox,unmapped
Pompons,unmapped
Poppy,unmapped
Lilies,unmapped
Fillers Mixed Boxes,unmapped
Garland Runners,unmapped
Gerbera,unmapped
Greens,unmapped
Scabiosa Scoops,unmapped
Thistle,unmapped
