ibf_variety,competitor_variety
666a78d9-1a3b-405d-b4d5-f8db3a84cd38,44211343622453
100a588d-2d2c-42d1-b30b-7a5e0e07a25f,44211348570421
4eeddf00-be01-4974-973f-252facd67594,49939523666229
4eeddf00-be01-4974-973f-252facd67594,49939523993909
4eeddf00-be01-4974-973f-252facd67594,49939524354357
c36a3d53-7125-416e-8996-395df577e9bf,49901433422133
c36a3d53-7125-416e-8996-395df577e9bf,49901434011957
f94664ba-fd1a-4c84-af02-92761b5d6451,50747040039221
f94664ba-fd1a-4c84-af02-92761b5d6451,50747040006453
f94664ba-fd1a-4c84-af02-92761b5d6451,50747039940917
f94664ba-fd1a-4c84-af02-92761b5d6451,50747039973685
1f0e0c98-b436-47b6-a069-891b52b127d3,49831773864245
1f0e0c98-b436-47b6-a069-891b52b127d3,49831776321845
1f0e0c98-b436-47b6-a069-891b52b127d3,49831775568181
1f0e0c98-b436-47b6-a069-891b52b127d3,49831774748981
1f0e0c98-b436-47b6-a069-891b52b127d3,49831770652981
1f0e0c98-b436-47b6-a069-891b52b127d3,49831771242805
1f0e0c98-b436-47b6-a069-891b52b127d3,49831769702709
1f0e0c98-b436-47b6-a069-891b52b127d3,49831761019189
1f0e0c98-b436-47b6-a069-891b52b127d3,49831759970613
1f0e0c98-b436-47b6-a069-891b52b127d3,49831758758197
1f0e0c98-b436-47b6-a069-891b52b127d3,49831757611317
1f0e0c98-b436-47b6-a069-891b52b127d3,49831770063157
65f1e378-06d9-43c5-a970-be9fe5b528b7,49820973990197
65f1e378-06d9-43c5-a970-be9fe5b528b7,49820976775477
c9f789aa-70d3-4166-bbf5-04b16a0562dc,49832044527925
c9f789aa-70d3-4166-bbf5-04b16a0562dc,49832046461237
c9f789aa-70d3-4166-bbf5-04b16a0562dc,49832044953909
c9f789aa-70d3-4166-bbf5-04b16a0562dc,49832043905333
c9f789aa-70d3-4166-bbf5-04b16a0562dc,49832034304309
c9f789aa-70d3-4166-bbf5-04b16a0562dc,49832035287349
c9f789aa-70d3-4166-bbf5-04b16a0562dc,49832032534837
c9f789aa-70d3-4166-bbf5-04b16a0562dc,49832029913397
c9f789aa-70d3-4166-bbf5-04b16a0562dc,49832029258037
c9f789aa-70d3-4166-bbf5-04b16a0562dc,49832028504373
c9f789aa-70d3-4166-bbf5-04b16a0562dc,49832027357493
c9f789aa-70d3-4166-bbf5-04b16a0562dc,49832032633141
b08fe5e3-e21e-4e3f-bc3d-5776a03a0d88,49831879541045
b08fe5e3-e21e-4e3f-bc3d-5776a03a0d88,49831878099253
b08fe5e3-e21e-4e3f-bc3d-5776a03a0d88,49831880818997
b08fe5e3-e21e-4e3f-bc3d-5776a03a0d88,49831877476661
b08fe5e3-e21e-4e3f-bc3d-5776a03a0d88,49831883604277
b08fe5e3-e21e-4e3f-bc3d-5776a03a0d88,49831874560309
b08fe5e3-e21e-4e3f-bc3d-5776a03a0d88,49831873380661
