ibf_variety,competitor_variety
3276d79d-695d-4f45-87c4-d53166e34ef3,491511
3276d79d-695d-4f45-87c4-d53166e34ef3,491512
3276d79d-695d-4f45-87c4-d53166e34ef3,490650
3276d79d-695d-4f45-87c4-d53166e34ef3,491513
bb8c5298-179b-4c2b-a57a-de0b14efa71b,486467
bb8c5298-179b-4c2b-a57a-de0b14efa71b,486468
bb8c5298-179b-4c2b-a57a-de0b14efa71b,486469
bb8c5298-179b-4c2b-a57a-de0b14efa71b,486470
bb8c5298-179b-4c2b-a57a-de0b14efa71b,486471
12a5d6ab-de33-4820-898c-f4087830082f,487373
12a5d6ab-de33-4820-898c-f4087830082f,487374
12a5d6ab-de33-4820-898c-f4087830082f,487375
12a5d6ab-de33-4820-898c-f4087830082f,487376
5de3bbad-c3b8-4c77-aa4e-ec49154b374a,490628
b1b6b639-31e1-46fa-bd71-be74b64a9471,487743
b1b6b639-31e1-46fa-bd71-be74b64a9471,487744
b1b6b639-31e1-46fa-bd71-be74b64a9471,487745
6645f7ea-f916-4d1e-8cd5-f9b6ed643e1c,514070
f740603f-e493-4a07-a9e7-cc73c854215b,489149
f740603f-e493-4a07-a9e7-cc73c854215b,489151
f740603f-e493-4a07-a9e7-cc73c854215b,489152
85fa7098-487a-48cb-957e-4b323f1b637d,935983
305aab46-72f9-461d-afc7-98d901c13243,488587
305aab46-72f9-461d-afc7-98d901c13243,488588
d7583b3b-5a47-42ca-b83d-9cb4f880a768,1004596
d7583b3b-5a47-42ca-b83d-9cb4f880a768,1004600
4a698b0a-ca5b-4aca-b2b3-676fe95b2563,643957
4a698b0a-ca5b-4aca-b2b3-676fe95b2563,643959
023b9270-dbf2-42e5-bf03-d3d0b2d95d6a,966390
023b9270-dbf2-42e5-bf03-d3d0b2d95d6a,966391
d24a19f4-a094-4319-8be4-e711959f72db,486459
d24a19f4-a094-4319-8be4-e711959f72db,486460
d24a19f4-a094-4319-8be4-e711959f72db,486461
3daa8270-b173-4d38-b29f-2bca8830208f,491524
41a167bd-bf87-4f11-8afa-1c9cbb3a3cca,486366
41a167bd-bf87-4f11-8afa-1c9cbb3a3cca,486367
41a167bd-bf87-4f11-8afa-1c9cbb3a3cca,486368
41a167bd-bf87-4f11-8afa-1c9cbb3a3cca,486369
456c8fb1-5a0a-4957-a23d-a13a246b6acb,485958
456c8fb1-5a0a-4957-a23d-a13a246b6acb,485959
456c8fb1-5a0a-4957-a23d-a13a246b6acb,485960
3e9e4658-3cef-4323-9ee0-cc782898ff77,485069
e71a182f-23a8-4472-88e9-2143c64f9f71,488567
