competitor,competitor_product_group_name,competitor_product_id,competitor_product_name,created_at,eta_date,grower_country,product_group_key,stem_length,stem_price,unit,variety_key
Flowermarketplace,Achillea Yarrow,2206375,ACHILLEA,2025-04-17,2025-04-29,Ecuador,a457ca34-3e66-41ba-8ddc-16e793044ce3,60,12.95,Bunch,
Flowermarketplace,Allium,2272522,ALLIUM GLADIATOR,2025-04-17,2025-04-29,Holland,,80,2.63,Stems,
Flowermarketplace,Allium,2272524,ALLIUM GLADIATOR,2025-04-17,2025-04-29,Holland,,80,2.48,Stems,
Flowermarketplace,Alstroemerias,2206376,ALSTROEMERIA ASSORTED,2025-04-17,2025-04-29,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,10.54,Bunch,
Flowermarketplace,Alstroemerias,2206378,ALSTROEMERIA HOT PINK,2025-04-17,2025-04-29,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,10.54,Bunch,
Flowermarketplace,Alstroemerias,2206380,ALSTROEMERIA LAVENDER,2025-04-17,2025-04-29,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,10.54,Bunch,
Flowermarketplace,Alstroemerias,2206382,ALSTROEMERIA ORANGE QUEEN,2025-04-17,2025-04-29,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,10.54,Bunch,
Flowermarketplace,Alstroemerias,2206384,ALSTROEMERIA PRIMA DONNA,2025-04-17,2025-04-29,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,10.54,Bunch,
Flowermarketplace,Alstroemerias,2206386,ALSTROEMERIA PURPLE,2025-04-17,2025-04-29,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,10.54,Bunch,
Flowermarketplace,Alstroemerias,2206387,ALSTROEMERIA RED,2025-04-17,2025-04-29,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,10.54,Bunch,
Flowermarketplace,Alstroemerias,2206389,ALSTROEMERIA WHITE,2025-04-17,2025-04-29,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,10.54,Bunch,
Flowermarketplace,Alstroemerias,2206391,ALSTROEMERIA YELLOW,2025-04-17,2025-04-29,Ecuador,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,10.54,Bunch,
Flowermarketplace,Amaranthus,2206393,AMARANTHUS HANGING ASSORTED,2025-04-17,2025-04-29,Ecuador,83a8817f-88b8-45a9-bc11-f9e3868e1882,,3.95,Stems,
Flowermarketplace,Amaranthus,2206395,AMARANTHUS HANGING GREEN,2025-04-17,2025-04-29,Ecuador,83a8817f-88b8-45a9-bc11-f9e3868e1882,,3.95,Stems,
Flowermarketplace,Amaranthus,2206396,AMARANTHUS HANGING RED,2025-04-17,2025-04-29,Ecuador,83a8817f-88b8-45a9-bc11-f9e3868e1882,,3.95,Stems,
Flowermarketplace,Anemone Coronaria,2206397,ANEMONE ASSORTED,2025-04-17,2025-04-29,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,28.18,Bunch,
Flowermarketplace,Anemone Coronaria,2206398,ANEMONE BLUSH,2025-04-17,2025-04-29,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,28.18,Bunch,
Flowermarketplace,Anemone Coronaria,2236674,ANEMONE BURGUNDY,2025-04-17,2025-04-29,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,25.0,Bunch,
Flowermarketplace,Anemone Coronaria,2206399,ANEMONE HOT PINK,2025-04-17,2025-04-29,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,28.18,Bunch,
Flowermarketplace,Anemone Coronaria,2236623,ANEMONE LEVANTE BLUE,2025-04-17,2025-04-29,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,25.0,Bunch,a8aeeeb0-cbf9-43f8-823d-0f4e86c5f9b4
Flowermarketplace,Anemone Coronaria,2236627,ANEMONE LEVANTE HOT PINK,2025-04-17,2025-04-29,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,25.0,Bunch,
Flowermarketplace,Anemone Coronaria,2236625,ANEMONE LEVANTE PINK,2025-04-17,2025-04-29,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,25.0,Bunch,
Flowermarketplace,Anemone Coronaria,2236626,ANEMONE LEVANTE RED,2025-04-17,2025-04-29,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,25.0,Bunch,
Flowermarketplace,Anemone Coronaria,2236624,ANEMONE LEVANTE WHITE,2025-04-17,2025-04-29,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,25.0,Bunch,7b6fb0c0-643a-436f-b712-cc5ee4ad2b8a
Flowermarketplace,Anemone Coronaria,2206401,ANEMONE MARIANNE PANDA,2025-04-17,2025-04-29,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,28.18,Bunch,
Flowermarketplace,Anemone Coronaria,2206402,ANEMONE NOVELTY PURPLE,2025-04-17,2025-04-29,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,28.18,Bunch,
Flowermarketplace,Anemone Coronaria,2206403,ANEMONE RED,2025-04-17,2025-04-29,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,28.18,Bunch,
Flowermarketplace,Anemone Coronaria,2211771,ANEMONE WINE RED,2025-04-17,2025-04-29,Ecuador,0b6221f4-9306-4e15-9949-d403524c3a7d,,28.18,Bunch,
