created_at,eta_date,competitor_product_id,competitor,competitor_variant_id,product_group_key,variety_key,competitor_product_group_name,competitor_product_name,stem_length,stems_per_unit,unit_price,stem_price,min_stems_each,max_stems_each
2025-04-09,2025-04-18,1791250432061,PetalJet,45408131154229,7a68bebd-2346-4e73-9906-a7665c22ce20,,Premium Roses,3D Rose,50,48,76.8,1.6,48,288
2025-04-09,2025-04-18,1791250432061,PetalJet,45408116638005,7a68bebd-2346-4e73-9906-a7665c22ce20,,Premium Roses,3D Rose,50,72,108.72,1.51,72,288
2025-04-09,2025-04-18,1791250432061,PetalJet,45408137216309,7a68bebd-2346-4e73-9906-a7665c22ce20,,Premium Roses,3D Rose,50,144,213.12,1.48,144,288
2025-04-09,2025-04-18,1791250432061,PetalJet,45408144752949,7a68bebd-2346-4e73-9906-a7665c22ce20,,Premium Roses,3D Rose,50,288,414.72,1.44,288,288
2025-04-09,2025-04-18,1791250432061,PetalJet,45408158155061,7a68bebd-2346-4e73-9906-a7665c22ce20,,Premium Roses,3D Rose,60,72,114.48,1.59,72,288
2025-04-09,2025-04-18,1791250432061,PetalJet,45408171163957,7a68bebd-2346-4e73-9906-a7665c22ce20,,Premium Roses,3D Rose,60,144,223.2,1.55,144,288
2025-04-09,2025-04-18,1791250432061,PetalJet,45408174178613,7a68bebd-2346-4e73-9906-a7665c22ce20,,Premium Roses,3D Rose,60,288,434.88,1.51,288,288
2025-04-09,2025-04-18,1791250432061,PetalJet,45408178503989,7a68bebd-2346-4e73-9906-a7665c22ce20,,Premium Roses,3D Rose,70,72,119.52,1.66,72,288
2025-04-09,2025-04-18,1791250432061,PetalJet,45408180928821,7a68bebd-2346-4e73-9906-a7665c22ce20,,Premium Roses,3D Rose,70,144,233.28,1.62,144,288
2025-04-09,2025-04-18,1791250432061,PetalJet,45408182403381,7a68bebd-2346-4e73-9906-a7665c22ce20,,Premium Roses,3D Rose,70,288,457.92,1.59,288,288
2025-04-09,2025-04-18,4516904075363,PetalJet,49758493311285,,,Jumbo Gerber Daisies,5 Star Jumbo Gerber Daisy,45,60,82.2,1.37,60,60
2025-04-09,2025-04-18,4516904075363,PetalJet,49758493737269,,,Jumbo Gerber Daisies,5 Star Jumbo Gerber Daisy,55,40,73.6,1.84,40,40
2025-04-09,2025-04-18,8152609227061,PetalJet,45414764446005,7a68bebd-2346-4e73-9906-a7665c22ce20,aed08d76-4782-479f-8426-9f93e180ebbe,Premium Roses,Absolute In Pink Rose,50,60,90.6,1.51,60,336
2025-04-09,2025-04-18,8152609227061,PetalJet,45414768017717,7a68bebd-2346-4e73-9906-a7665c22ce20,aed08d76-4782-479f-8426-9f93e180ebbe,Premium Roses,Absolute In Pink Rose,50,84,124.32,1.48,84,336
2025-04-09,2025-04-18,8152609227061,PetalJet,45414770639157,7a68bebd-2346-4e73-9906-a7665c22ce20,aed08d76-4782-479f-8426-9f93e180ebbe,Premium Roses,Absolute In Pink Rose,50,168,245.28,1.46,168,336
2025-04-09,2025-04-18,8152609227061,PetalJet,45414774243637,7a68bebd-2346-4e73-9906-a7665c22ce20,aed08d76-4782-479f-8426-9f93e180ebbe,Premium Roses,Absolute In Pink Rose,50,336,470.4,1.4,336,336
2025-04-09,2025-04-18,8152609227061,PetalJet,45414779486517,7a68bebd-2346-4e73-9906-a7665c22ce20,aed08d76-4782-479f-8426-9f93e180ebbe,Premium Roses,Absolute In Pink Rose,60,84,137.76,1.64,84,336
2025-04-09,2025-04-18,8152609227061,PetalJet,45414782763317,7a68bebd-2346-4e73-9906-a7665c22ce20,aed08d76-4782-479f-8426-9f93e180ebbe,Premium Roses,Absolute In Pink Rose,60,168,268.8,1.6,168,336
2025-04-09,2025-04-18,8152609227061,PetalJet,45414785351989,7a68bebd-2346-4e73-9906-a7665c22ce20,aed08d76-4782-479f-8426-9f93e180ebbe,Premium Roses,Absolute In Pink Rose,60,336,524.16,1.56,336,336
2025-04-09,2025-04-18,8152609227061,PetalJet,45414789644597,7a68bebd-2346-4e73-9906-a7665c22ce20,aed08d76-4782-479f-8426-9f93e180ebbe,Premium Roses,Absolute In Pink Rose,70,84,152.88,1.82,84,336
2025-04-09,2025-04-18,8152609227061,PetalJet,45414793511221,7a68bebd-2346-4e73-9906-a7665c22ce20,aed08d76-4782-479f-8426-9f93e180ebbe,Premium Roses,Absolute In Pink Rose,70,168,295.68,1.76,168,336
2025-04-09,2025-04-18,8152609227061,PetalJet,45414795051317,7a68bebd-2346-4e73-9906-a7665c22ce20,aed08d76-4782-479f-8426-9f93e180ebbe,Premium Roses,Absolute In Pink Rose,70,336,574.56,1.71,336,336
2025-04-09,2025-04-18,8463997927733,PetalJet,48430948811061,7a68bebd-2346-4e73-9906-a7665c22ce20,9017616c-62ef-41f7-b6b2-5df2cdb8882c,Premium Roses,Africana Orange Rose,40,72,87.84,1.22,72,384
2025-04-09,2025-04-18,8463997927733,PetalJet,48430948843829,7a68bebd-2346-4e73-9906-a7665c22ce20,9017616c-62ef-41f7-b6b2-5df2cdb8882c,Premium Roses,Africana Orange Rose,40,96,115.2,1.2,96,384
2025-04-09,2025-04-18,8463997927733,PetalJet,48430948876597,7a68bebd-2346-4e73-9906-a7665c22ce20,9017616c-62ef-41f7-b6b2-5df2cdb8882c,Premium Roses,Africana Orange Rose,40,192,222.72,1.16,192,384
2025-04-09,2025-04-18,8463997927733,PetalJet,48430948909365,7a68bebd-2346-4e73-9906-a7665c22ce20,9017616c-62ef-41f7-b6b2-5df2cdb8882c,Premium Roses,Africana Orange Rose,40,384,437.76,1.14,384,384
2025-04-09,2025-04-18,8463997927733,PetalJet,48430948942133,7a68bebd-2346-4e73-9906-a7665c22ce20,9017616c-62ef-41f7-b6b2-5df2cdb8882c,Premium Roses,Africana Orange Rose,50,72,95.04,1.32,72,384
2025-04-09,2025-04-18,8463997927733,PetalJet,48430948974901,7a68bebd-2346-4e73-9906-a7665c22ce20,9017616c-62ef-41f7-b6b2-5df2cdb8882c,Premium Roses,Africana Orange Rose,50,96,123.84,1.29,96,384
