_KEY,ibf_product_group
7a68bebd-2346-4e73-9906-a7665c22ce20,Roses
85e5624a-3128-4892-a306-3e060dd1c8fe,Garden Roses
3711d6d5-1bf9-491f-8005-af223f9d3203,Hydrangea
dc2d4e70-31a7-4009-972a-f5bbe103df9a,Mixed box
0c9f14f5-d919-4590-bbb6-f8f0f14a30e2,Gypsophilia (Babys breath)
0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,Chrysanthemum Spray Pom
ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,Alstroemeria
ca1ac5e5-e1cb-47a0-aafb-82c3f8b2cc57,Lilies LA Hybrids
3322369c-cdde-479c-a465-e03c0826111e,Carnation
abc3802a-cdb2-4f92-874a-fe36927e8ec1,Calla's
507f66ab-2a79-43a1-9bdb-66e690d1aaa5,Aster Spray
fe74eca1-cbad-4962-8102-4c5b7d6adc21,Bells Of Ireland
ede3dcb6-259c-49df-b21b-e03a4003d665,Succulents (no roots)
73eebcd2-6c71-4e23-939a-410a82bd675a,Chrysanthemum Disbuds/ Mums
a7331d2a-6ad1-4158-8a62-73fa7a786757,Lilies Oriental
f65b435b-c531-4639-99d9-2805fb8cd131,Spray Roses
decde47b-6c08-4330-88cd-78d642cf8823,Delphinium
1191a80c-1726-43d7-b4e2-4e239d0a5598,Ruscus
723b5f0a-b914-4d2f-b5c1-58ea4cee71ce,Dusty Miller
0fe1b331-a9eb-46d8-b354-81a9f944723a,Statice
4e76dde5-60e9-4cb0-8afb-f099f89ebc3a,Mini Carnation (Spray)
39835a65-1dc7-4b37-92be-66daf73fac29,Leucadendron
572f3db4-81ad-4dbc-86ef-1195bf9c78ca,Ginger
f34eaca7-c4d0-4824-a331-ce601ee98869,Mini Calla
3ac230e1-ab31-4da6-9c4e-5a36764cdc4a,Ti Leaves
8bff6b99-de91-492b-820f-83cf5c097212,Hypericum
85cba147-54fe-4505-b258-39d9a9a81b98,Hydrangea tinted
c960b6b5-aa1c-4d68-b526-4ff325a13754,Dracaena
ddd1b091-f766-4f24-976a-5c5629727d39,Flax
a48075b7-c761-4f99-b057-436a81e22616,Philodendron
ce2aa506-46f0-4fcf-aa42-56da08135155,Garden Spray Roses
b0a75c5d-1cd5-4177-9cd7-bc23b2f68d52,Star Thistle
b1d5f091-9120-474e-b65d-d43f1dda7700,Protea
6b025779-674a-43ee-be46-d32b4a7f6d62,Pincushion Proteas
0ed0264f-3587-4077-9752-4cee47549e5e,Palm
47c397da-36d2-4e19-abac-315b05d83a9a,Novelty (Do not use anymore)
12932620-8484-4dba-bd71-205ed8e5da22,Eucalyptus
7e568fb8-3159-4049-a6cd-241404e3e560,Kalanchoe (cut)
b13b3354-b515-4882-8b2e-75d2e75dc998,Pittosporum
f804a637-35a9-4e33-bdc3-271e6adc9ab5,Ranunculus
e54687a4-0692-4715-b73e-f4a7448ced4a,Tulips Single
e7188a6f-198d-4287-97ed-1c326bf248c3,Iris
6fb9291c-05d9-486b-b599-7f71be272e9b,Cymbidium Mini
84132732-29d4-4525-bc0f-9f27fd22c94d,Freesia Single
72193b6f-3745-43d3-b566-73346bb5db71,Sunflower
065128c0-72e5-4e00-975a-39c8a717eafd,Rose Petals
bda80e2d-dbf3-4751-bbd6-6838b37ac93f,Cymbidium Spray
67cf5a2d-f8ce-4a3c-a9df-d3a328aabc09,Dianthus
44158241-eff8-400e-9fd6-967384de466b,Peony
216f9b19-3671-4899-a8f8-acb3d173dabc,Limonium
1e2ee4e0-904b-4068-87fd-c74123f53af1,Allium
40181326-f863-4491-9d7f-314b3016f6a6,Gerbera Mini
e53e86c2-f5ea-43c2-8fb5-764bca6e94e1,Bouvardia
09cbb165-445b-4c82-9a3b-b033cbac9f12,Astilbe
d2b24e01-726d-4f2d-9520-37a0e6342cca,Roses tinted/dyed toppings
abc5eaea-ca26-4130-ba08-aea64145626f,Aspidistra
37761eea-251a-4a7b-913c-b8cda08fd337,Lilly Grass
71ed2d86-2509-40f1-973a-0df53ea86737,Heliconia
5c2ebc74-f0d5-409f-83f2-a1d33372c246,Bouquets
2d40acaf-6fd4-43b7-bceb-10a125315b74,David Austin Garden Roses
5f5756ca-89dc-4dd5-a706-3fa2cb241882,Gloriosa
3087f0ab-7641-4cfa-b687-8c101668525c,Vanda
c3db8d45-a5e0-40e9-ae61-e46a8a8f35fe,Celosia
8f349be2-56d7-4e5b-9d59-27b9d97b7793,Billy Balls
58e658f3-eecb-4dd8-b9e4-b1d009557a03,Brodea
1dc7ebac-ec79-439e-b916-09f304bb4ba0,Campanula
3261737f-f6a8-415d-825e-431841e44ac7,Agapanthus
a7515350-5cfb-4423-86ee-95fb6836db4e,Lisianthus Double
b0669d59-c36e-40d0-a8f8-044614bf9411,Bupleurum
a06f225f-b6ca-4dc8-8b80-f3cb014b1794,Kale
b57f9f3f-35f2-4fc0-bc05-322124740f92,Tulips Double
cec25414-a3ab-47ed-9cdd-5f54f1b0ce93,Lysimachia
84245f4f-dd48-4b70-aaf3-5bd33564190e,Tulips Parrot
8dd89459-0abb-413d-aafa-d2bc5ac3e040,Sweet Peas
2b6f134d-0950-4c67-93da-585fd61c485e,Stars of Beth
0b6221f4-9306-4e15-9949-d403524c3a7d,Anemone
c1f2e201-3b47-49a6-be06-3b5d2822bd9a,Scabiosa
83a8817f-88b8-45a9-bc11-f9e3868e1882,Amaranthus
5bcc9ad7-5116-47d9-857d-3ef2c7adacdf,Tree Fern
93e22e60-d1c2-4ee5-9452-04398ade4d34,Pine
df017349-ea53-40c5-a62b-88739aceb448,Kangaroo Paws
0e314f31-8359-4687-946f-6bc500c89993,Lisianthus Single
b8197d36-46c9-476a-817b-2d7b89cdeafa,Anthurium
1f25d5a8-111d-4b42-9785-f1183758721b,Eucharis
7521c0c9-3987-4b27-892e-f7abf782298b,Freesia Double
1ee96c2d-4154-4df1-81cd-8945de104113,Helleborus
f22cd647-5eca-4c2f-812d-6e7661052a85,Acacia
de2c54e3-c55e-4ea9-ab4e-d8fc8bd98063,Myrtle
0dcda386-b34f-4425-9ee2-9c237d4d3d35,Olive
bdc74c69-a222-4cc5-9edc-0d5b24343814,Grevillea
58d7e9cb-5990-444c-bda1-90165d7e34c3,Berries
4ad9434e-dd6f-4f27-9f30-01cc2658eb96,Magnolia
7af4c515-5d95-4637-a043-9c5ca2162fae,Millet
41db75ce-f377-4de2-9379-00def4d51a53,Prayer Plant
f86731fc-25b0-4331-b086-b0d1850e1b0f,Leatherleaf
618b7a0a-f638-4007-a05d-ba1f22fbad64,Garlands
9eb74a35-aa02-446f-bec5-c8fd72739d6a,Strelitzia
9156fead-10bb-493b-8bac-d0f7f9ac9fcf,Rhamnus
b2855498-5f59-43f3-846a-7bd5a86a0421,Rosemary
06d083d9-3fd1-4c53-9030-2ab874c7360a,Boxwood
6b35d620-4a44-49f3-b883-40fe01f311ce,Phlox
b786bc7a-255b-4f3b-8bbf-d8c7562e8dcd,Trachelium
d64b553f-70c7-4631-a0da-54c59be3cf81,Privet
b37e47fa-a5df-4d1a-a9e5-ea6d45e4bc09,Phalaenopsis
7c58faa5-a4ed-4cf4-adda-6787d697720b,Asparagus
759243a0-6c8d-43ad-a0e0-136dc01dfa86,Kniphofia
828d6aa3-aba8-4446-ac0f-f691a821cfb5,Queen Annes Lace
c473d7cf-f8df-400f-a2b7-6dc964f6d274,Lilies Asiatic
1ef1479a-d2af-4fcf-950a-58e2baa31f05,Preserved Roses
c0a57b7b-3d0a-4688-91f4-a3eda4a26048,Gerbera Large Flowered
abd12a8c-1933-4a93-9f0b-ff4cb1f9c6ee,Cosmos
98b1739e-8152-4985-9f3a-6d2b60b46aae,Willow
2d8d8a84-b6f7-41af-a370-8209dda4bd36,Sage
0c148eb6-c79e-4edb-888e-b54ad4bdad73,Amaryllis
a5006f8c-a0b5-4146-9af6-d10f8099fa7d,Hosta
d5baba9a-471d-44bb-9f8c-45a75726eda6,Marigold
2a891db4-252c-4e10-b708-64258e3d2eaf,Lilies OT Hybrids
eaf00339-480a-4cc4-a02a-e309f9399303,Muscari
706c77c1-1a85-4492-84c8-24f8f54a215b,Crocosmia
a2e9b8e0-05ec-497a-830e-2dfbe8ee9f58,Cyclamen
66776f44-37c4-417c-a05b-654c962b0e7a,Hyacinth
9dcc57f9-9bed-49d2-bb82-046531d14e20,Nerine
e4e58d80-9d72-4c90-b3a0-11f5afdb607c,Sweetheart Roses
097c1e4e-66c3-4f7d-9742-f0ced7bea22b,Pumpkin Tree
5c27e2c4-ccd9-4d10-ad3a-0f8d8a33a346,Waxflower
ab301a1f-7596-45ee-a689-dfc531f7b0c2,Stock
483d5981-c64f-4e06-8859-f38f29d0694a,Euphorbia
3f7d62c8-1ad6-46de-840d-4563a5545a3d,Snapdragons
d2ea2fc3-6c90-449b-9b0c-c4d9d2400fbc,Veronica
fc86a278-4c40-48a6-a213-5464aca5fb41,Cedar
9e2ba8bc-d948-45ef-ba3b-14d5ea225bea,Juniper
7a38cc86-f126-4c01-b022-7a7808a6aede,Papyrus
8a07cdf1-4bd2-4e4c-af8c-df693405742b,Fir
edf288cd-9ad2-4367-8fe3-2d47494ab2f9,Aster
cc23c4b4-802b-44b8-8391-8efb78f27de5,Ilex (holly)
4a612eca-eb12-48f5-b01c-45f795e152f9,Flocked Branches
95c517b2-2d68-49fb-b4ff-c982c5077636,Apple Tree
0a9b09d0-9607-4dd3-9e88-d7006737ff2f,Cypress
4ec49f8d-67d8-4658-b005-4792e9b2daee,Larkspur
64fd43d4-6acb-4334-ad1b-0afed2a1b86c,Eriostemon
77e80550-8ed3-4d02-8e97-982365e4d611,Chrysanthemum Micro Pom
64d3bd13-d2b9-43d1-ae14-338263bb012b,Premium NW Greens
29153aeb-8cfc-4149-97e3-b86c43036592,Corn Flower
de66a6d7-4e84-4b4d-858e-ee80a0375e7c,Gomphrena
89ea3f9d-8cb9-4ee9-958e-dc6490be0ba9,Wreaths
