ibf_product_name,variety_key,name,color_name_cleaned,variety_cleaned
Stock Yellow,0e8851b0-ba33-4ca7-a9bb-e230832d409b,Stock Yellow yellow,Yellow,Stock
Chrysanthemum Spray Pom Cushion Yellow,dacfaf30-8364-4942-9bee-aa86f000dd8a,Chrysanthemum Spray Pom Cushion Yellow yellow,Yellow,Chrysanthemum Spray Pom Cushion
Larkspur Lavender,c537c0bb-d222-4a9e-bde1-1dcafe00ed12,Larkspur Lavender lavender,Lavender,Larkspur
Stock Lavender,b5bfd498-0086-4c2c-8901-6e605037465e,Stock Lavender lavender,Lavender,Stock
Chrysanthemum Spray Pom Cushion Zembla Sunny Yellow,3515a3f5-5f05-4218-8329-3d85853c9b92,Chrysanthemum Spray Pom Cushion Zembla Sunny yellow,Yellow,Chrysanthemum Spray Pom Cushion Zembla Sunny
Chrysanthemum Spray Pom Cushion Veronica Pink,b9455937-2b6b-4966-9ecf-c55e5955bcf7,Chrysanthemum Spray Pom Cushion Veronica pink,Pink,Chrysanthemum Spray Pom Cushion Veronica
Anemone Mistral Plus Viola Dark Purple,080e3046-11d3-4f9b-9218-e8b1182c11c8,Anemone Mistral Plus Viola purple - dark,Dark Purple,Anemone Mistral Plus Viola
Gypsophilia Xlence Lavender,17956779-e7b9-48c9-9247-a348e1f7b31e,Gypsophilia (Babys breath) Xlence Lavender 250 gr. (tinted/ dyed) 6 st/bu lavender,Lavender,Gypsophilia Xlence
Alstroemeria Primadonna Light Pink,28dd0db2-a9c8-40d4-8a08-b7665a4dc6c2,Alstroemeria Primadonna pink - light,Light Pink,Alstroemeria Primadonna
Alstroemeria Pink,9081143f-3331-4d34-8d76-61811507cc71,Alstroemeria Pink pink,Pink,Alstroemeria
Snapdragons Pink,8b46cd80-c47d-4788-826c-3c5295a61e62,Snapdragons Hot Pink pink - multiple,Pink,Snapdragons
Statice White,b34b35b0-2ad5-4824-aa4f-dd907edb76d4,Statice White white,White,Statice
Ranunculus Peach,08320617-cca0-4f84-a580-15a157ccc316,Ranunculus Peach (The color may vary Salmon / Orange / Peach) peach,Peach,Ranunculus
Hydrangea Mojito Mini Green,e2ded6cb-7c73-45b9-9d40-62da9a4c1d81,Hydrangea Mojito Mini green,Green,Hydrangea Mojito Mini
Anemone Full Star White,1c06c838-bb58-4f31-bd0e-abe1c6f05ebb,Anemone Full Star White (Green Center) white - multiple,White,Anemone Full Star
Chrysanthemum Disbuds White,be7c01bb-003d-4929-b827-2b18360d7d71,Chrysanthemum Disbuds/ Mums Football Albatros white,White,Chrysanthemum Disbuds
Gerbera Large Flowered Mixed,44e89139-a04e-4ea9-9bad-fc835992222d,Gerbera Large Flowered Assorted . mixed,Mixed,Gerbera Large Flowered
Ranunculus White,6645f7ea-f916-4d1e-8cd5-f9b6ed643e1c,Ranunculus White white,White,Ranunculus
Stock White,5de3bbad-c3b8-4c77-aa4e-ec49154b374a,Stock White white,White,Stock
Roses Novia Light Pink,4b5c6979-e7a7-42b7-860b-c5b49e5314de,Roses Novia pink - light,Light Pink,Roses Novia
Spray Roses Snow Flake White,810e5e94-fb96-4879-90a4-decc97d92094,Spray Roses Snow Flake white,White,Spray Roses Snow Flake
Hydrangea Select White,311cab55-4199-453e-9fd0-a28bdaf286c6,Hydrangea White Select (16-17cm) (The tone can vary depending on the weather - creamy / greenish) white,White,Hydrangea Select
Roses Ocean Song Lavender,af36097d-db97-4b3d-91b3-c313eb60ad20,Roses Ocean Song lavender,Lavender,Roses Ocean Song
Spray Roses Lovely Lidia Pink,113d2ee7-5b4b-43cb-ae30-b72740dcbf6e,Spray Roses Lovely Lidia pink - multiple,Pink,Spray Roses Lovely Lidia
Hydrangea Select Blue,c37f38b8-824b-4db7-a84b-fddc54b8a61f,Hydrangea Blue Select (16-17 cm) blue,Blue,Hydrangea Select
Aranthera James Storie Red,3262b0be-a494-4d33-ac03-a4b3e5f08b3f,Aranthera James Storie red - multiple,Red,Aranthera James Storie
Tulips French Menton Salmon Salmon,7d100c08-83bf-4fe8-8942-26dd5fb0c070,Tulips French Menton salmon,Salmon,Tulips French Menton Salmon
Chrysanthemum Disbuds Pink,18e1cf7f-d62d-4eb2-aa8a-986f0e6552e2,Chrysanthemum Disbuds/ Mums Cremon Rosanne Charlotte pink - multiple,Pink,Chrysanthemum Disbuds
Scabiosa Milky Scoop White,d5f7aa0e-8ef7-4032-b945-e492bf84a175,Scabiosa Milky Scoop white,White,Scabiosa Milky Scoop
Roses Freedom Red,bb8c5298-179b-4c2b-a57a-de0b14efa71b,Roses Freedom red,Red,Roses Freedom
Garden Roses X Pression Pink,38226e76-42d0-4011-bb5a-1fdce75bd581,Garden Roses Pink X Pression pink,Pink,Garden Roses X Pression
Mini Carnation Burgundy,ee5891f9-31bc-4b9f-9e42-ccc02063bced,Mini Carnation (Spray) Burgundy burgundy,Burgundy,Mini Carnation
Garden Roses Moonstone White,5a2208c0-94b1-453b-8c8a-ea07c07f28f0,Garden Roses Moonstone (greenish outside petals) white,White,Garden Roses Moonstone
Hydrangea Shocking Select Blue,bd5eb44f-9b99-4a9d-88a1-f5b1f2861035,Hydrangea Shocking Blue Select (15-17 cm) blue,Blue,Hydrangea Shocking Select
Chrysanthemum Micro Pom Santini Ying Yang White,873bb08a-d0c7-43ce-b999-fd6d6a97253a,Chrysanthemum Micro Pom Santini Ying Yang white,White,Chrysanthemum Micro Pom Santini Ying Yang
Garden Roses Ohara Light Pink,094aabaf-7503-4e24-b7a8-e8b8c984b95d,Garden Roses Pink OHara *Fragrance* pink - light,Light Pink,Garden Roses Ohara
Dendrobium Hybrid Marco Polo Pink,077bed46-6baa-4531-9623-389e15345499,Dendrobium Hybrid Marco Polo (stem) pink - multiple,Pink,Dendrobium Hybrid Marco Polo
Garden Roses Deluxe Mixed,0a1df26d-aa0c-4b2d-96eb-4283839ecde8,Garden Roses Deluxe Assorted (Minimum 4 Colors) mixed,Mixed,Garden Roses Deluxe
Pittosporum Green,0f9e9469-a6d2-4ab4-b929-06ccae998cbe,Pittosporum Green green,Green,Pittosporum
Roses Deep Lavender,7700981c-8639-4a6b-ac12-8f4577aac4ff,Roses Deep Purple lavender - multiple,Lavender,Roses Deep
Roses Reef Light Orange,ced01f80-2bd2-4e13-a6c2-5f971f160ed7,Roses Coral Reef orange - light,Light Orange,Roses Reef
