mayesh_product_name,competitor_product_id,stem_length
Achillea Ptarmica Pearl White,8448957,
Agapanthus Blue,490587,
Alstroemeria Assorted Fancy,483746,
Alstroemeria Assorted Select,483748,
Alstroemeria Assorted Super Select,490071,
Alstroemeria Dirty Dancing Cream Fancy,941009,
Alstroemeria Dirty Dancing Cream Select,941010,
Alstroemeria Dirty Dancing Cream Super Select,941011,
Alstroemeria Dubai Light Pink Fancy,1032020,
Alstroemeria Dubai Light Pink Select,1032021,
Alstroemeria Fifi Light Pink Fancy,940749,
Alstroemeria Fifi Light Pink Select,940750,
Alstroemeria Fifi Light Pink Super Select,940751,
Alstroemeria Galaxy Lavender Fancy,1050611,
Alstroemeria Galaxy Lavender Select,1050612,
Alstroemeria Galaxy Lavender Super Select,1050613,
Alstroemeria Green Planet Green Select,14631876,
Alstroemeria Hot Pink Fancy,483770,
Alstroemeria Hot Pink Select,483772,
Alstroemeria Hot Pink Super Select,483771,
Alstroemeria Lavender Fancy,483774,
Alstroemeria Lavender Select,483776,
Alstroemeria Lavender Super Select,483775,
Alstroemeria Nadya Red Fancy,484032,
Alstroemeria Nadya Red Select,484034,
Alstroemeria Nadya Red Super Select,484033,
Alstroemeria Orange Fancy,483782,
Alstroemeria Orange Queen Orange Fancy,484056,
Alstroemeria Orange Queen Orange Select,484058,
Alstroemeria Orange Queen Orange Super Select,484057,
Alstroemeria Orange Select,483784,
Alstroemeria Orange Super Select,483783,
Alstroemeria Pink Fancy,483790,
Alstroemeria Pink Select,483792,
Alstroemeria Pink Super Select,483791,
Alstroemeria Pink/White Fancy,1822882,
Alstroemeria Pink/White Select,1822883,
Alstroemeria Pink/White Super Select,1822884,
Alstroemeria Primadonna Pink Fancy,484068,
Alstroemeria Primadonna Pink Select,484070,
Alstroemeria Primadonna Pink Super Select,484069,
Alstroemeria Shakira Green Select,646524,
Alstroemeria Tampa Orange Fancy,484108,
Alstroemeria Tampa Orange Select,484110,
Alstroemeria Voyager Yellow Fancy,645935,
Alstroemeria Voyager Yellow Select,645936,
Alstroemeria Whistler White Fancy,1052764,
Alstroemeria Whistler White Select,1052765,
Alstroemeria Whistler White Super Select,1052766,
Alstroemeria White Fancy,483806,
Alstroemeria White Select,483808,
Alstroemeria White Super Select,483807,
Amaranthus Hanging Green,500277,
Amaranthus Hanging Red,513360,
Amaranthus Upright Red,513364,
Anemone Assorted,513365,
Anemone Black Center White,513375,
Anemone Blue,513367,
Anemone Blush,513366,
Anemone Levante Blue,12983878,
Anemone Levante Fuchsia,12983873,
Anemone Levante Pink,12983877,
Anemone Levante Red,12983905,
Anemone Levante White,12983858,
Anemone Mistral Bordeaux Burgundy,3912336,
Anemone Mistral Grape Purple,3111261,
Anemone Red,513373,
Aralia Leaves Green,514524,
Aspidistra Green,514550,
Aspidistra Green,514550,
Aspidistra Variegated,514551,
Aspidistra Variegated,514551,
Aster Carnival Pink,939558,
Aster Carnival Purple,939556,
Aster Carnival White,939557,
Aster Matsumoto Assorted,484140,
Aster Matsumoto Hot Pink,484141,
Aster Matsumoto Hot Pink,484141,
Aster Matsumoto Pink,484144,
Aster Matsumoto Purple,484145,
Aster Matsumoto Purple,484145,
Aster Matsumoto Red,484146,
Aster Matsumoto Red,484146,
Aster Matsumoto White,484147,
Aster Matsumoto White,484147,
Aster Montecasino White,484153,
Aster Sungal Purple,1540958,60.0
Aster Sungal Purple,1540958,60.0
Aster Sunrio White,1540957,60.0
Astrantia Burgundy,1051721,
Atriplex Green,514564,
Bells of Ireland Green Long,666513,
Bells of Ireland Green Medium,666512,
Bells of Ireland Green Xlong,1006583,
